Timestamp,What is your age?  ,What is your gender?  ,How familiar are you with SpaceX’s reusable rocket technology?  ,Which SpaceX missions have you heard of? (Select all that apply)  ,How often do you follow news related to space exploration?  ,Do you believe that SpaceX’s reusable rocket technology is a breakthrough in space travel?  ,"In your opinion, how has SpaceX influenced the future of space exploration?  ",Do you think that the advancements made by SpaceX will lead to more private companies entering the space industry?  ,How do you perceive the safety of SpaceX missions compared to traditional government space programs like?  ,"Do you think SpaceX missions are more affordable than those by government space agencies such as NASA, ISRO?  ",Would you like to learn more about space exploration through educational programs?  ,How likely do you think SpaceX’s technologies will improve life on Earth?  ,Do you believe that investments in space exploration can lead to new technological advancements for everyday use?  ,Would you support government funding for companies like SpaceX?  ,Do you think public-private partnerships are essential for future advancements in space technology?  
2024/10/16 6:37:21 pm GMT+5:30,18 - 24,Male,Somewhat familiar,Falcon 9;Starship;Crew Dragon,Weekly,Yes,Moderately,Yes,About the same,No,Yes,Very likely,Yes,Yes,No
2024/10/16 6:37:46 pm GMT+5:30,18 - 24,Female,Somewhat familiar,Falcon 1,Monthly,Yes,Moderately,Yes,About the same,No,Yes,Somewhat likely,Yes,Yes,Unsure
2024/10/16 6:38:13 pm GMT+5:30,35 - 54,Male,Somewhat familiar,Falcon Heavy,Monthly,Maybe,Moderately,Maybe,About the same,Unsure,Yes,Very likely,Maybe,Unsure,Yes
2024/10/16 6:38:58 pm GMT+5:30,18 - 24,Male,Somewhat familiar,Falcon 9;Falcon Heavy;Starship,Monthly,Maybe,Not at all,Maybe,Less same,Yes,Yes,Unlikely,Yes,Unsure,No
2024/10/16 6:39:08 pm GMT+5:30,18 - 24,Female,Somewhat familiar,Falcon 9;Falcon Heavy;Starship,Monthly,Maybe,Not at all,Maybe,Less same,Yes,Yes,Unlikely,Yes,Unsure,Unsure
2024/10/16 6:40:37 pm GMT+5:30,18 - 24,Male,Not familiar,Falcon Heavy;Starship;Crew Dragon,Rarely,No,Moderately,Yes,Less same,Yes,Yes,Unlikely,Maybe,Yes,Unsure
2024/10/16 6:40:38 pm GMT+5:30,18 - 24,Male,Not familiar,Falcon Heavy;Starship;Crew Dragon,Rarely,Maybe,Significantly,Maybe,Safer,Unsure,Yes,Unlikely,Maybe,Unsure,Yes
2024/10/16 6:41:49 pm GMT+5:30,25 - 34,Female,Somewhat familiar,Starship,Rarely,Yes,Moderately,Maybe,Less same,Yes,Yes,Unlikely,Yes,Yes,No
2024/10/16 6:41:50 pm GMT+5:30,25 - 34,Female,Somewhat familiar,Starship,Rarely,Yes,Moderately,Maybe,Less same,Yes,Yes,Unlikely,Yes,Yes,Yes
2024/10/16 6:45:37 pm GMT+5:30,18 - 24,Male,Somewhat familiar,Starship,Weekly,Yes,Moderately,Yes,Less same,Yes,Yes,Very likely,No,Yes,Yes
2024/10/16 6:45:37 pm GMT+5:30,18 - 24,Male,Somewhat familiar,Starship,Daily,Yes,Moderately,Yes,About the same,Yes,Yes,Somewhat likely,No,Yes,Yes
2024/10/16 6:46:52 pm GMT+5:30,35 - 54,Male,Very familiar,Falcon Heavy,Weekly,Yes,Significantly,Yes,Safer,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 6:47:20 pm GMT+5:30,55 or older,Female,Somewhat familiar,Crew Dragon,Rarely,Maybe,Moderately,Maybe,Less same,Unsure,Yes,Somewhat likely,Maybe,Unsure,Yes
2024/10/16 6:47:36 pm GMT+5:30,25 - 34,Female,Very familiar,Starship;Crew Dragon,Monthly,Maybe,Not at all,Maybe,About the same,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 6:47:38 pm GMT+5:30,25 - 34,Female,Very familiar,Starship,Rarely,Maybe,Not at all,Maybe,About the same,Yes,No,Very likely,Yes,Yes,No
2024/10/16 6:47:52 pm GMT+5:30,55 or older,Male,Not familiar,Falcon 9,Rarely,Yes,Moderately,Yes,About the same,Yes,Yes,Very likely,Yes,Unsure,Yes
2024/10/16 6:48:24 pm GMT+5:30,25 - 34,Male,Somewhat familiar,Falcon Heavy,Weekly,Maybe,Significantly,Yes,About the same,Unsure,Yes,Somewhat likely,Yes,Yes,Unsure
2024/10/16 6:49:04 pm GMT+5:30,25 - 34,Female,Very familiar,Falcon 1,Weekly,Maybe,Moderately,Yes,About the same,Yes,Yes,Somewhat likely,Yes,Unsure,Yes
2024/10/16 6:49:25 pm GMT+5:30,18 - 24,Male,Very familiar,Falcon Heavy;Starship,Rarely,Maybe,Significantly,Maybe,Safer,Yes,Yes,Very likely,Yes,No,Yes
2024/10/16 6:49:41 pm GMT+5:30,18 - 24,Male,Not familiar,Falcon Heavy;Starship,Rarely,Maybe,Significantly,Maybe,Safer,Yes,Yes,Very likely,No,No,Yes
2024/10/16 6:50:10 pm GMT+5:30,25 - 34,Female,Somewhat familiar,Falcon Heavy,Weekly,Maybe,Significantly,Yes,Less same,Yes,Yes,Somewhat likely,Maybe,No,Unsure
2024/10/16 6:50:40 pm GMT+5:30,18 - 24,Male,Somewhat familiar,Falcon Heavy,Monthly,Maybe,Moderately,Maybe,About the same,,Yes,Somewhat likely,,Yes,Yes
2024/10/16 6:51:04 pm GMT+5:30,18 - 24,Female,Very familiar,Crew Dragon,Daily,Yes,Significantly,Yes,Safer,Yes,Yes,Very likely,Yes,Yes,Unsure
2024/10/16 6:51:04 pm GMT+5:30,18 - 24,Female,Very familiar,Falcon 1,Monthly,Maybe,Significantly,Yes,Safer,Yes,Yes,Very likely,Yes,Yes,Unsure
2024/10/16 6:51:06 pm GMT+5:30,18 - 24,Female,Somewhat familiar,Starship,Monthly,Yes,,Maybe,Safer,Yes,Yes,Somewhat likely,Yes,Yes,Yes
2024/10/16 6:51:28 pm GMT+5:30,25 - 34,Female,Somewhat familiar,Falcon Heavy,Monthly,Maybe,Moderately,Yes,About the same,Yes,Yes,Unlikely,Maybe,Yes,Yes
2024/10/16 6:51:52 pm GMT+5:30,35 - 54,Male,Very familiar,Starship,Monthly,Yes,Moderately,Maybe,About the same,Yes,Yes,Somewhat likely,Yes,Yes,Yes
2024/10/16 6:52:25 pm GMT+5:30,18 - 24,Female,Somewhat familiar,Starship,Rarely,No,Moderately,Maybe,Less same,No,Yes,Unlikely,No,No,No
2024/10/16 6:52:48 pm GMT+5:30,18 - 24,Female,Somewhat familiar,Starship,Rarely,Yes,Moderately,Yes,Less same,Yes,Yes,Somewhat likely,Yes,No,Yes
2024/10/16 6:53:10 pm GMT+5:30,18 - 24,Male,Somewhat familiar,Falcon 1,Weekly,Maybe,Moderately,Maybe,About the same,Unsure,Yes,Somewhat likely,Yes,Yes,Yes
2024/10/16 6:54:00 pm GMT+5:30,25 - 34,Female,Very familiar,Falcon Heavy,Rarely,Yes,Moderately,Yes,Less same,,Yes,Somewhat likely,Yes,Yes,Yes
2024/10/16 6:54:24 pm GMT+5:30,18 - 24,Female,Somewhat familiar,Falcon Heavy,Monthly,Maybe,Moderately,Maybe,About the same,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 6:54:52 pm GMT+5:30,35 - 54,Female,Somewhat familiar,Falcon 9,Monthly,Yes,Moderately,Maybe,About the same,Yes,Yes,Somewhat likely,Yes,,Yes
2024/10/16 6:55:54 pm GMT+5:30,25 - 34,Female,Very familiar,Falcon 9,Rarely,Maybe,Moderately,Maybe,Less same,No,Yes,Somewhat likely,Maybe,Yes,Yes
2024/10/16 6:57:11 pm GMT+5:30,25 - 34,Female,Somewhat familiar,Falcon 1,Weekly,Yes,Moderately,Yes,Less same,Unsure,Yes,Somewhat likely,Maybe,Unsure,Yes
2024/10/16 6:57:59 pm GMT+5:30,35 - 54,Male,Very familiar,Falcon 1,Daily,Yes,Significantly,Yes,Safer,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 6:58:24 pm GMT+5:30,18 - 24,Female,Very familiar,Falcon 9,Weekly,Yes,Significantly,Yes,Safer,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 6:58:57 pm GMT+5:30,Under 18,Female,Not familiar,Crew Dragon,Rarely,Maybe,Not at all,No,Less same,Unsure,No,Unlikely,No,Yes,Yes
2024/10/16 6:59:34 pm GMT+5:30,18 - 24,Male,Somewhat familiar,Falcon 9,Monthly,Yes,Moderately,Maybe,About the same,Yes,Yes,Somewhat likely,Maybe,Unsure,Yes
2024/10/16 7:00:05 pm GMT+5:30,18 - 24,Female,Somewhat familiar,Falcon 9,Daily,Yes,Moderately,Maybe,About the same,Unsure,Yes,Somewhat likely,Maybe,Yes,Yes
2024/10/16 7:00:28 pm GMT+5:30,18 - 24,Female,Somewhat familiar,Falcon Heavy,Monthly,Yes,Moderately,Yes,Safer,Yes,Yes,Somewhat likely,Maybe,Unsure,Yes
2024/10/16 7:01:00 pm GMT+5:30,35 - 54,Male,Somewhat familiar,Crew Dragon,Monthly,Maybe,Significantly,Maybe,Safer,Unsure,Yes,Somewhat likely,Yes,Unsure,Unsure
2024/10/16 7:01:25 pm GMT+5:30,35 - 54,Female,Very familiar,Falcon Heavy,Monthly,Yes,Moderately,Maybe,About the same,Yes,Yes,Somewhat likely,Yes,Yes,Yes
2024/10/16 7:02:02 pm GMT+5:30,18 - 24,Female,Somewhat familiar,Falcon 1,Monthly,Yes,Significantly,Yes,Safer,Yes,Yes,Somewhat likely,Yes,Yes,Yes
2024/10/16 7:02:31 pm GMT+5:30,18 - 24,Female,Somewhat familiar,Crew Dragon,Monthly,Yes,Moderately,Maybe,About the same,Yes,Yes,Somewhat likely,Maybe,No,Yes
2024/10/16 7:02:58 pm GMT+5:30,18 - 24,Female,Very familiar,Falcon 1,Weekly,Yes,Moderately,Yes,Safer,Yes,Yes,Somewhat likely,Maybe,Yes,Yes
2024/10/16 7:03:25 pm GMT+5:30,25 - 34,Male,Somewhat familiar,Starship,Monthly,Yes,Moderately,Maybe,Less same,Unsure,Yes,Very likely,Maybe,Yes,Unsure
2024/10/16 7:05:09 pm GMT+5:30,18 - 24,Female,Somewhat familiar,Falcon 9,Monthly,Yes,Moderately,Yes,About the same,Yes,Yes,Somewhat likely,Yes,Unsure,Yes
2024/10/16 7:05:36 pm GMT+5:30,25 - 34,Male,Somewhat familiar,Falcon Heavy,Weekly,Yes,Moderately,Maybe,About the same,Yes,Yes,Somewhat likely,No,Yes,Yes
2024/10/16 7:06:02 pm GMT+5:30,25 - 34,Male,Somewhat familiar,Falcon Heavy,Monthly,Maybe,Moderately,Maybe,About the same,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 7:12:32 pm GMT+5:30,18 - 24,Female,Somewhat familiar,Falcon 9,Monthly,Yes,Moderately,Maybe,About the same,Yes,Yes,Somewhat likely,Yes,Yes,Yes
2024/10/16 7:13:03 pm GMT+5:30,18 - 24,Female,Very familiar,Falcon 9,Monthly,Yes,Moderately,Yes,About the same,Yes,Yes,Somewhat likely,Yes,Yes,Yes
2024/10/16 7:13:44 pm GMT+5:30,25 - 34,Female,Somewhat familiar,Falcon 9,Monthly,Yes,Moderately,Yes,About the same,Yes,Yes,Somewhat likely,Maybe,Unsure,Unsure
2024/10/16 7:14:17 pm GMT+5:30,25 - 34,Female,Somewhat familiar,Falcon 9;Starship;Crew Dragon,Weekly,Yes,Significantly,Yes,Safer,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 7:14:55 pm GMT+5:30,35 - 54,Female,Somewhat familiar,Falcon 1;Falcon 9,Weekly,Maybe,Moderately,Yes,About the same,Yes,Yes,Somewhat likely,Maybe,Unsure,Unsure
2024/10/16 7:15:33 pm GMT+5:30,25 - 34,Female,Somewhat familiar,Crew Dragon,Rarely,Yes,Significantly,Yes,About the same,Unsure,Yes,Somewhat likely,Maybe,Unsure,Unsure
2024/10/16 7:16:06 pm GMT+5:30,35 - 54,Male,Somewhat familiar,Crew Dragon,Rarely,Maybe,Moderately,Maybe,About the same,Unsure,Yes,Somewhat likely,Maybe,Yes,Yes
2024/10/16 7:16:39 pm GMT+5:30,25 - 34,Female,Somewhat familiar,Falcon 1;Crew Dragon,Weekly,Yes,Significantly,Yes,Safer,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 7:19:58 pm GMT+5:30,25 - 34,Female,Very familiar,Falcon 9,Monthly,Yes,Moderately,Yes,About the same,Yes,Yes,Somewhat likely,Yes,Yes,Yes
2024/10/16 7:20:33 pm GMT+5:30,35 - 54,Female,Not familiar,Crew Dragon,Monthly,No,Moderately,Yes,About the same,Unsure,Yes,Somewhat likely,Maybe,Unsure,Unsure
2024/10/16 7:21:05 pm GMT+5:30,25 - 34,Female,Somewhat familiar,Falcon 9,Monthly,Maybe,Moderately,Yes,About the same,Unsure,Yes,Somewhat likely,Maybe,Yes,Yes
2024/10/16 6:35:26 pm GMT+5:30,35 - 54,Female,Somewhat familiar,Falcon 1,,Yes,Moderately,Yes,About the same,Yes,Yes,Somewhat likely,Yes,Yes,Yes
2024/10/16 9:04:47 am GMT+5:30,18 - 24,Female,Somewhat familiar,Starship,Monthly,Maybe,Significantly,Yes,Less same,Unsure,Yes,Somewhat likely,Yes,Yes,Yes
